question,answer
"How long is the probation period for a new employee at DFY, and what happens at the end of it?","The first six (6) months of employment are typically probationary (except for short-term projects where the term is decided case-by-case). At the completion of probation, the employee and employer meet to review progress, after which one of three things occurs: probation ends, probation is extended for an additional six months, or employment ends."
How many paid sick leaves and annual leaves is a full-time employee entitled to each year?,"Employees are entitled to 7 days of sick leave per calendar year. For annual leave, a total of 1 paid leave is allowed per calendar month (i.e., 12 per year), and no more than 5 annual leaves can be carried forward to the new calendar year."
What is the maternity leave policy at DFY?,"As per the Maternity Benefit Act 2017 (Amendment), an employee is eligible for maternity leave of up to 26 weeks (more than 6 months). However, a woman who already has two or more children is entitled to 12 weeks of maternity leave. Maternity leave with full pay is granted on completion of at least 80 days in the establishment in the 12 months prior to the expected date of delivery."
What notice period must an employee give when resigning from DFY?,"If an employee wishes to resign, they must give one month's prior notice in writing to their superior or the HR department. If the employee fails to give such notice, management may withhold terminal benefits and may refuse to issue a No Objection Certificate (NOC)."
What are the Provident Fund (EPF) contribution rules for DFY employees?,"Employees begin participation in the EPF plan after completion of three (3) months of employment. Each employee contributes at least five percent (5%) of their gross salary, which is deducted from payroll, and this is matched by the employer up to a maximum of five percent (5%). Employees may not place these contributions with another investment broker/agent while employed by DFY."
What happens if an employee takes unauthorized leave at DFY?,"If an employee takes unauthorized leave, the program manager can decide to treat the leave days as unpaid leave or penalize the employee's salary equal to 2 working days. If unauthorized leaves extend beyond 3 consecutive days or more than 5 days a year, penal action can include termination of contract. Additionally, more than 3 unauthorized leaves in continuity, or a total of 10 or more unauthorized leaves in a calendar year, deems the employee absconding and may be grounds for termination."
Who has the final authority for the interpretation of the rules in the DFY HR Manual?,"The President of DFY is the final authority for the interpretation of the rules contained in the manual, and decisions made by him/her shall be final and binding on all employees of DFY."
What documents must a new employee submit to HR on their first day of joining?,"New employees must submit: three photographs, a photocopy of a detailed CV, attested copies of educational and experience certificates, and bank information (i.e., account number, bank name, branch name, bank code, and address)."
What are the regular office hours at DFY?,"The regular office hours for DFY are 9:30 a.m. to 5:30 p.m., Monday through Saturday inclusive (excluding holidays), with core operational hours being 9:30 a.m. to 5:30 p.m.; medical/clinical practitioners follow the local schedule as applicable."
"What committees has DFY constituted to address employment-related issues, and what does the Grievance Redressal Committee handle?","DFY has constituted five committees: the Purchase Committee, Committee against Sexual Harassment, Employee Welfare Committee, Grievance Redressal Committee, and Appeal Committee. The Grievance Redressal Committee handles all complaints and conflict-related issues with DFY staff, and comprises 3 members: a Member of the Governing Body, the Incharge of M&E, and the Director of HR and Admin."
